StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,DEM_1,DEM_2,DEM_3,DEM_4,Russia_False,Russia_False_Conf_1,Maine_True,Maine_true_Conf_1,Oxford_False,Oxford_False_Conf_1,Urchin_True,Urchin_True_Conf_1,Ostrich_False,Ostrich_False_Conf_1,Lungfish_True,Lungfish_True_Conf_1,Eiffel_False,Eiffel_False_Conf_1,Drops_True,Drops_True_Conf_1,Everest_False,Everest_False_Conf_1,Insects_True,Insects_True_Conf_1,Texas_False,Texas_False_Conf_1,Alaska_True,Alaska_True_Conf_1,Water_False,Water_False_Conf_1,China_True,China_True_Conf_1,Tortoises_False,Tortoises_False_Conf_1,Pigs_True,Pigs_True_Conf_1,Russia_True,Russia_True_Conf_1,Maine_False,Maine_False_Conf_1,Oxford_True,Oxford_True_Conf_1,Urchin_False,Urchin_False_Conf_1,Ostrich_True,Ostrich_True_Conf_1,Lungfish_False,Lungfish_False_Conf_1,Eiffel_True,Eiffel_True_Conf_1,Drops_False,Drops_False_Conf_1,Everest_True,Everest_True_Conf_1,Insects_False,Insects_False_Conf_1,Texas_True,Texas_True_Conf_1,Alaska_False,Alaska_False_Conf_1,Water_True,Water_True_Conf_1,China_False,China_False_Conf_1,Tortoise_True,Tortoise_True_Conf_1,Pigs_False,Pigs_False_Conf_1,BS_1,BS_2,BS_3,BS_4,BS_5,BS_6,BS_7,BS_8,BS_9,BS_10,BS_11,BS_12,BS_13,BS_14,BS_15,BS_16,BS_17,BS_18,BS_19,BS_20,SS_Squash,GF1_Slot,DenNeglect,ProbMatch,WS_1,WS_2,WS_3,WS_4,WS_5,Num1,Num2,Num3,RI_1,RI_2,RI_3,RI_4,RI_5,EI_1,EI_2,EI_3,EI_4,EI_5,CintID,CintID - Topics
2018-03-06 13:50:48,2018-03-06 14:16:24,IP Address,*******,100,1536,True,2018-03-06 14:16:25,R_3gYnaRH4F5jCxUM,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Liberal,College,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,75,True,94,False,100,True,54,False,60,True,98,True,99,False,50,True,98,False,97,True,100,False,100,True,100,False,100,True,100,False,99,,Very profound,,,,,,,,,,Very profound,Very profound,Not at all profound,Definitely profound,,,,,Definitely profound,9 points,1,small tray (10 marbles),"Strategy D: Predict red on all of the 60 rolls. ",widen,prominent,inducement,dream,loud,600,10,1 in 10,Definitely true of myself 5,4,2,Not true or untrue 3,Definitely true of myself 5,4,Definitely true of myself 5,Definitely not true of myself 1,Definitely not true of myself 1,2,a6f6c135-0bfd-887f-1c22-f7dd7e083de1,
2018-03-06 14:13:32,2018-03-06 14:16:25,IP Address,*******,100,173,True,2018-03-06 14:16:26,R_3RrapUhDqV3rRll,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,18-24,Very Conservative,High School,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,79,False,79,True,75,True,75,True,74,False,70,True,68,False,73,False,73,True,80,False,73,True,83,True,66,False,70,False,72,False,72,Definitely profound,,,,,Fairly profound,,,Very profound,,,,Fairly profound,,Definitely profound,,,,,Fairly profound,9 points,3,small tray (10 marbles),"Strategy B: Predict the more likely color (red) on most of the rolls but occasionally, after a long run of reds, predict a green. ",make level,come,inducement,eulogy,smart,233,3,1 in 1000,4,Definitely true of myself 5,4,4,Not true or untrue 3,4,4,2,Definitely true of myself 5,4,bf5f5db9-73d6-8ef6-b5ae-6b747c9fc66f,
2018-03-06 13:56:37,2018-03-06 14:16:26,IP Address,*******,100,1189,True,2018-03-06 14:16:27,R_vAjm71OtD3SJzwZ,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,55-64,Conservative,Some College,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,60,False,78,False,100,True,65,False,59,True,96,True,50,False,80,True,91,False,87,True,100,False,100,True,70,False,100,True,81,False,100,,,,,,Somewhat profound,,Fairly profound,Fairly profound,,Somewhat profound,Not at all profound,Not at all profound,,,,,,,,15 points,1,small tray (10 marbles),"Strategy D: Predict red on all of the 60 rolls. ",widen,prominent,whim,dream,daring,500,10,1 in 10,4,Not true or untrue 3,2,2,Not true or untrue 3,Note true or untrue 3,Not true or untrue 3,Not true or untrue 3,4,4,0700c57c-bf9d-c0b5-ea6b-f32b5eeb09ab,
2018-03-06 14:11:15,2018-03-06 14:16:39,IP Address,*******,100,323,True,2018-03-06 14:16:40,R_3G3ZpnYAUsQioDI,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Moderate,Some College,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,65,True,81,False,71,True,71,False,67,True,81,True,70,False,66,True,86,False,84,True,93,False,70,True,83,False,70,True,79,False,63,,Fairly profound,,,,,,Somewhat profound,Definitely profound,,Somewhat profound,,,Fairly profound,,,,,Somewhat profound,,15 points,2,small tray (10 marbles),"Strategy D: Predict red on all of the 60 rolls. ",,,,,,1,1,1 in 1000,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Note true or untrue 3,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,86a0437e-e6e5-b936-4a69-758b5293d7a6,
2018-03-06 13:50:49,2018-03-06 14:16:39,IP Address,*******,100,1550,True,2018-03-06 14:16:40,R_31TrbR8WwdJ2vQ3,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,45-54,Moderate,High School,Female,True,100,False,100,True,100,False,100,True,100,False,50,False,100,True,100,False,100,True,100,False,100,True,100,False,100,True,100,False,100,True,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very profound,,,,,,Somewhat profound,Not at all profound,,Not at all profound,,Very profound,,Definitely profound,,,,,,9 points,0,large tray (100 marbles),"Strategy D: Predict red on all of the 60 rolls. ",widen,,,illusion,,500,1,1 in 10,4,Definitely not true of myself 1,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Note true or untrue 3,Not true or untrue 3,Not true or untrue 3,2,2,e1fd7221-94a0-3a93-1736-44d63f01a2fc,
2018-03-06 14:07:39,2018-03-06 14:16:40,IP Address,*******,100,541,True,2018-03-06 14:16:41,R_1QgwXqYQdvVkAHm,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Conservative,College,Female,False,50,True,50,True,100,False,70,True,80,False,50,False,60,False,70,False,85,True,90,False,75,True,100,False,95,True,70,False,97,True,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very profound,Definitely profound,Fairly profound,,,Fairly profound,,Definitely profound,Somewhat profound,,9 points,50,large tray (100 marbles),"Strategy C: Make predictions according to the frequency of occurrence (4 of 6 for red and 2 of 6 for green). That is, predict twice as many reds as greens. ",widen,,,,,50,5,1 in 10,4,4,Definitely true of myself 5,Definitely not true of myself 1,Definitely true of myself 5,4,4,Not true or untrue 3,2,Definitely not true of myself 1,75f7db15-987e-2afd-1d02-eddc110cafcd,
2018-03-06 14:10:14,2018-03-06 14:16:43,IP Address,*******,100,388,True,2018-03-06 14:16:44,R_305ItroJ9yfZsrV,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,65+,Very Conservative,Some College,Female,True,50,False,52,True,51,False,51,True,51,True,50,False,50,True,51,True,51,True,52,False,51,True,50,False,51,True,51,False,51,True,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all profound,,,,Somewhat profound,Somewhat profound,,,,,,,Definitely profound,Somewhat profound,,,Not at all profound,,,9 points,2,small tray (10 marbles),"Strategy A: Go by intuition, switching when there has been too many of one color or the other.",widen,free,whim,reference,daring,200,5,1 in 10,4,2,4,4,4,4,4,Not true or untrue 3,4,4,a2a3d1eb-5e19-98e0-49fc-e788d5ab683e,
2018-03-06 14:07:34,2018-03-06 14:16:45,IP Address,*******,100,551,True,2018-03-06 14:16:46,R_79D44zOlNDVGd4l,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,45-54,Moderate,College,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,76,False,70,False,85,True,75,False,80,True,76,True,76,False,65,True,76,True,76,False,70,False,100,True,91,False,70,True,76,False,72,Definitely profound,,Fairly profound,,Somewhat profound,,,Fairly profound,,,,,,Definitely profound,,,Fairly profound,,,,15 points,5,small tray (10 marbles),"Strategy B: Predict the more likely color (red) on most of the rolls but occasionally, after a long run of reds, predict a green. ",widen,prominent,,reference,daring,100,5,1 in 10,2,Definitely not true of myself 1,Not true or untrue 3,2,Not true or untrue 3,2,2,Not true or untrue 3,4,4,881697a8-0137-6476-fcbf-a13de25bb674,
2018-03-06 14:06:49,2018-03-06 14:16:54,IP Address,*******,100,605,True,2018-03-06 14:16:55,R_7WI8T4qf0moCDE5,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Moderate,College,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,62,False,100,False,100,True,84,True,50,True,87,False,76,False,100,True,86,False,84,False,67,False,70,True,78,False,100,True,100,True,86,Definitely profound,Somewhat profound,Fairly profound,,,Fairly profound,,,,,,Fairly profound,,,,,,,Very profound,,9 points,3,large tray (100 marbles),"Strategy B: Predict the more likely color (red) on most of the rolls but occasionally, after a long run of reds, predict a green. ",widen,populate,inducement,illusion,outgoing,22,1,1 in 10,4,Not true or untrue 3,4,Not true or untrue 3,Definitely true of myself 5,4,Definitely true of myself 5,Not true or untrue 3,2,Not true or untrue 3,ec1e440c-ac24-a862-f41b-7235f6c405db,
2018-03-06 14:07:11,2018-03-06 14:16:57,IP Address,*******,100,585,True,2018-03-06 14:16:58,R_2frJgqNclCh7jB8,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,65+,Liberal,College,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,96,True,100,False,100,True,98,False,89,True,86,False,90,True,93,True,100,False,100,True,100,False,94,True,100,False,100,True,100,False,100,Somewhat profound,,,,,,,,Very profound,,Not at all profound,Not at all profound,,,,,,,Definitely profound,Definitely profound,9 points,10,large tray (100 marbles),"Strategy D: Predict red on all of the 60 rolls. ",widen,populate,whim,reference,daring,500,10,1 in 10,4,4,4,Not true or untrue 3,4,4,4,2,2,Not true or untrue 3,3434523b-fa26-bff7-de2c-641f0a28ccef,
2018-03-06 14:09:21,2018-03-06 14:17:02,IP Address,*******,100,461,True,2018-03-06 14:17:03,R_28H5nqTNyGVJawZ,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,45-54,Conservative,Some College,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,80,False,91,False,91,False,85,False,80,True,85,False,86,False,90,True,100,False,100,True,100,False,100,True,91,False,100,True,100,False,100,,,Fairly profound,,Fairly profound,Fairly profound,,,,,,Fairly profound,,,Fairly profound,,,Fairly profound,,,15 points,3,small tray (10 marbles),"Strategy C: Make predictions according to the frequency of occurrence (4 of 6 for red and 2 of 6 for green). That is, predict twice as many reds as greens. ",widen,prominent,value,reference,loud,25,1,1 in 10,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Note true or untrue 3,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,10016c11-3eee-9b67-eb06-5a2a80c589c6,
2018-03-06 14:11:28,2018-03-06 14:17:20,IP Address,*******,100,351,True,2018-03-06 14:17:21,R_2shNafQJemnLhkd,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,35-44,Liberal,College,Female,True,67,True,83,True,80,True,80,True,82,False,70,False,73,False,78,False,69,False,83,False,86,True,71,False,78,True,99,True,71,True,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat profound,,,,,,Fairly profound,,,,Somewhat profound,Somewhat profound,,,Fairly profound,,Somewhat profound,,,15 points,4,small tray (10 marbles),"Strategy C: Make predictions according to the frequency of occurrence (4 of 6 for red and 2 of 6 for green). That is, predict twice as many reds as greens. ",widen,populate,,dream,daring,2,3,1 in 1000,Definitely true of myself 5,2,Not true or untrue 3,Definitely true of myself 5,Definitely true of myself 5,4,4,2,2,Definitely true of myself 5,e62035ca-2d25-cd01-cadd-030b91109b1c,
2018-03-06 14:07:12,2018-03-06 14:17:21,IP Address,*******,100,609,True,2018-03-06 14:17:22,R_3D29T6MOaJjZ1XI,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,65+,Conservative,Some College,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,66,True,86,False,100,True,70,True,65,True,81,True,80,False,68,True,100,False,100,True,100,False,100,True,100,False,100,True,100,False,100,,,,,,,Very profound,,Definitely profound,Fairly profound,,,,Definitely profound,,Definitely profound,,,Somewhat profound,,9 points,1,small tray (10 marbles),"Strategy D: Predict red on all of the 60 rolls. ",widen,,a star,illusion,daring,500,10,1 in 10,4,Not true or untrue 3,2,Not true or untrue 3,4,4,4,2,2,2,73b4cce4-cfdb-212a-5ef3-fa9f2fd4f930,
2018-03-06 14:05:38,2018-03-06 14:17:21,IP Address,*******,100,702,True,2018-03-06 14:17:22,R_3hhhJ5rkb2eE6N8,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,65+,Moderate,College,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,100,True,100,False,100,True,100,True,71,True,100,True,50,False,100,True,100,False,100,True,100,False,100,True,100,False,100,True,100,False,100,,,,,,,,,,,Not at all profound,Not at all profound,Somewhat profound,Not at all profound,,,Fairly profound,Somewhat profound,,,9 points,1,small tray (10 marbles),"Strategy F: Predict more red than green, but switching back and forth depending upon “runs” of one color or the other. ",widen,free,,,loud,500,10,1 in 10,4,Definitely not true of myself 1,4,Not true or untrue 3,Definitely true of myself 5,4,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,2,4491dea8-aa75-316d-7bbf-e8ba0d181d70,
2018-03-06 14:14:14,2018-03-06 14:17:24,IP Address,*******,100,189,True,2018-03-06 14:17:24,R_3qIn5EuDubUcf9S,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,35-44,Very Conservative,High School,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,100,True,100,True,100,True,100,True,100,True,100,True,100,True,100,True,100,True,100,True,100,True,100,True,100,True,100,True,100,True,100,,,Very profound,,Very profound,,,,Very profound,,Very profound,,Very profound,Very profound,,,,,,,9 points,4,small tray (10 marbles),"Strategy C: Make predictions according to the frequency of occurrence (4 of 6 for red and 2 of 6 for green). That is, predict twice as many reds as greens. ",embroider,populate,value,eulogy,smart,3,40,1 in 100,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,798d9a8b-dc74-4c41-679c-aca63fb6eb5e,
2018-03-06 14:00:16,2018-03-06 14:17:25,IP Address,*******,100,1028,True,2018-03-06 14:17:25,R_3HFwJ1PQz6u34Tl,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Liberal,College,Female,False,69,True,50,True,100,False,100,True,50,False,50,False,100,False,50,False,100,True,100,False,100,True,71,False,100,True,100,False,100,True,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairly profound,,,Not at all profound,,,,,,,Somewhat profound,Fairly profound,,Very profound,,,Fairly profound,9 points,1,small tray (10 marbles),"Strategy B: Predict the more likely color (red) on most of the rolls but occasionally, after a long run of reds, predict a green. ",widen,populate,whim,reference,daring,500,10,1 in 10,Definitely true of myself 5,Not true or untrue 3,2,2,Definitely true of myself 5,4,4,2,Definitely not true of myself 1,Not true or untrue 3,c0d8f090-8ab5-f85e-3287-c6f39abebc44,
2018-03-06 14:11:19,2018-03-06 14:17:27,IP Address,*******,100,367,True,2018-03-06 14:17:27,R_2YfzQteuHIM1oUf,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Liberal,College,Female,False,82,True,78,True,94,True,78,True,85,True,70,False,79,False,68,True,80,True,65,False,86,True,78,True,78,True,87,False,89,True,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairly profound,Definitely profound,Fairly profound,,,Fairly profound,Fairly profound,,,Definitely profound,,,,,,,,,,9 points,5,large tray (100 marbles),"Strategy B: Predict the more likely color (red) on most of the rolls but occasionally, after a long run of reds, predict a green. ",widen,populate,inducement,illusion,loud,100,1000000,1 in 1000,Definitely true of myself 5,4,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,4,4,4,4,4,4bdf56be-c75a-acd9-35a9-60f4a07c716b,
2018-03-06 14:06:39,2018-03-06 14:17:41,IP Address,*******,100,661,True,2018-03-06 14:17:41,R_22zPPg5WHJbxv2k,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,55-64,Moderate,Some College,Female,False,91,True,55,True,98,True,56,False,76,True,76,False,86,False,51,False,51,True,86,False,99,True,99,False,96,True,99,False,71,False,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Definitely profound,,,,Fairly profound,,,Fairly profound,,Definitely profound,,Very profound,,Fairly profound,,,,,,9 points,3,large tray (100 marbles),"Strategy B: Predict the more likely color (red) on most of the rolls but occasionally, after a long run of reds, predict a green. ",widen,free,whim,reference,brave,600,10,1 in 10,Not true or untrue 3,2,2,2,4,4,4,Not true or untrue 3,2,Not true or untrue 3,2fd9c347-48fc-2f44-3350-f5f220f3fe9b,
2018-03-06 14:07:06,2018-03-06 14:17:45,IP Address,*******,100,639,True,2018-03-06 14:17:46,R_3QDkFFgsK021gN5,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,65+,Moderate,Some College,Male,True,100,True,91,True,100,False,100,True,100,False,100,False,100,False,100,False,100,True,100,False,100,True,100,False,100,True,100,False,100,True,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all profound,Not at all profound,Not at all profound,,,,Not at all profound,Not at all profound,Not at all profound,9 points,0,large tray (100 marbles),"Strategy D: Predict red on all of the 60 rolls. ",widen,populate,,reference,daring,500,10,1 in 10,4,Not true or untrue 3,Definitely true of myself 5,Definitely true of myself 5,4,4,4,2,2,2,09b9972c-0009-7a12-533b-a1925907b7f9,
2018-03-06 14:10:34,2018-03-06 14:17:49,IP Address,*******,100,434,True,2018-03-06 14:17:50,R_3R9KlbTxr5AkQnp,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,35-44,Liberal,Some College,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,80,True,79,False,94,True,94,False,91,True,95,True,93,False,91,True,97,False,94,True,92,False,99,True,96,False,98,True,95,False,93,,,,,Somewhat profound,Definitely profound,,,,,,Somewhat profound,Fairly profound,,,Very profound,,Definitely profound,,,15 points,7,large tray (100 marbles),"Strategy F: Predict more red than green, but switching back and forth depending upon “runs” of one color or the other. ",widen,prominent,inducement,illusion,daring,500,1,1 in 10,Definitely true of myself 5,4,4,Not true or untrue 3,4,Note true or untrue 3,4,2,2,4,53f0a2cc-87a1-56cd-1adb-94dbda95b119,
2018-03-06 14:08:06,2018-03-06 14:17:53,IP Address,*******,100,586,True,2018-03-06 14:17:54,R_1kT7JC29ZH189Qh,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,35-44,Moderate,Graduate Degree or Higher,Female,True,92,True,97,True,95,True,94,True,94,True,93,True,91,True,93,True,94,True,94,True,93,True,96,True,95,True,94,True,94,True,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Definitely profound,,Definitely profound,Definitely profound,,,,Definitely profound,,,Definitely profound,,,,,,,,,Definitely profound,15 points,6,large tray (100 marbles),"Strategy B: Predict the more likely color (red) on most of the rolls but occasionally, after a long run of reds, predict a green. ",make level,free,a star,dream,brave,10,100,1 in 1000,Definitely true of myself 5,4,Definitely true of myself 5,Definitely true of myself 5,4,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,4,4,a1a112d5-bb5f-e360-4bc2-248a187d0d01,
2018-03-06 14:05:42,2018-03-06 14:17:55,IP Address,*******,100,732,True,2018-03-06 14:17:56,R_2vZHZ8qOY2kxeth,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,65+,Conservative,Graduate Degree or Higher,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,50,False,91,False,100,True,60,True,50,True,50,True,100,False,86,True,100,False,100,True,100,False,100,True,100,False,100,True,100,False,100,,,Not at all profound,,Not at all profound,,,,Not at all profound,,,,Fairly profound,,,Fairly profound,,,,Not at all profound,9 points,1,large tray (100 marbles),"Strategy D: Predict red on all of the 60 rolls. ",widen,come,whim,reference,outgoing,500,10,1 in 10,Definitely true of myself 5,Definitely not true of myself 1,Definitely not true of myself 1,2,4,2,Definitely not true of myself 1,4,2,Definitely true of myself 5,b5d79aad-f30f-d272-3dba-acfc9ea44570,
2018-03-06 14:13:09,2018-03-06 14:17:55,IP Address,*******,100,286,True,2018-03-06 14:17:56,R_3D7uqTmgT5OlBga,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Conservative,College,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,87,True,82,False,91,True,85,False,88,True,88,True,90,True,83,True,85,True,87,True,88,True,83,False,86,False,79,False,86,False,86,Definitely profound,,,,,,Fairly profound,,Fairly profound,,,,Fairly profound,Definitely profound,,,Fairly profound,,,,9 points,1,small tray (10 marbles),"Strategy B: Predict the more likely color (red) on most of the rolls but occasionally, after a long run of reds, predict a green. ",widen,come,whim,dream,outgoing,2,40,1 in 1000,4,4,2,2,2,2,Not true or untrue 3,2,2,4,20c93cd4-2bc5-f8e2-23c3-0ae21a3de203,
2018-03-06 14:02:57,2018-03-06 14:17:58,IP Address,*******,100,900,True,2018-03-06 14:18:00,R_cGFa1pyTkXVvG49,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Very Liberal,Some College,Female,True,86,False,100,True,100,False,76,True,96,True,89,True,76,True,91,False,100,True,100,False,100,True,100,False,99,True,100,False,100,True,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairly profound,Fairly profound,,,,,,Somewhat profound,,Fairly profound,,,Somewhat profound,Very profound,,,,,,9 points,0,small tray (10 marbles),"Strategy B: Predict the more likely color (red) on most of the rolls but occasionally, after a long run of reds, predict a green. ",widen,prominent,a star,reference,brave,500,10,1 in 10,Definitely true of myself 5,Definitely not true of myself 1,Definitely true of myself 5,Definitely true of myself 5,Not true or untrue 3,Definitely true of myself 5,4,Definitely true of myself 5,2,Not true or untrue 3,7479932e-108d-7264-9339-a552a29c26fb,
2018-03-06 14:08:47,2018-03-06 14:18:01,IP Address,*******,100,553,True,2018-03-06 14:18:02,R_3fpjZLEZX6osGqH,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Liberal,Graduate Degree or Higher,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,60,True,100,True,82,False,60,True,54,True,70,True,81,True,50,True,98,False,100,True,100,False,100,True,98,False,100,True,100,False,92,Somewhat profound,,,,,,,,,,,,,Not at all profound,Not at all profound,,Fairly profound,,Not at all profound,Somewhat profound,15 points,1,large tray (100 marbles),"Strategy D: Predict red on all of the 60 rolls. ",widen,populate,a star,dream,brave,500,10,1 in 10,4,Not true or untrue 3,2,2,4,2,4,Not true or untrue 3,Not true or untrue 3,4,51aa269b-7e16-d073-408c-1081c91d484c,
2018-03-06 14:11:43,2018-03-06 14:18:12,IP Address,*******,100,389,True,2018-03-06 14:18:13,R_1F3Z6V4lDY0IQp1,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Moderate,Graduate Degree or Higher,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,89,True,80,False,89,False,76,False,72,True,82,True,79,False,83,False,100,False,78,True,78,False,97,False,78,False,79,False,80,False,79,,,Fairly profound,,,Somewhat profound,,,,,,,Fairly profound,Fairly profound,Not at all profound,Somewhat profound,,,,,9 points,2,small tray (10 marbles),"Strategy F: Predict more red than green, but switching back and forth depending upon “runs” of one color or the other. ",widen,,,dream,,4,45,1 in 10,2,2,Not true or untrue 3,4,Not true or untrue 3,Note true or untrue 3,Not true or untrue 3,Not true or untrue 3,4,Definitely true of myself 5,f2e95842-4e9e-a07e-0355-6ec2baa6f996,
2018-03-06 14:10:50,2018-03-06 14:18:15,IP Address,*******,100,445,True,2018-03-06 14:18:17,R_3m2XMJ1eRTUCLiA,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,55-64,Very Liberal,College,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,76,True,81,False,66,False,65,True,80,False,70,True,100,False,83,False,69,False,85,True,86,False,71,True,82,False,86,True,83,True,85,,Very profound,Fairly profound,,Fairly profound,,,,,,,,Somewhat profound,,,,Fairly profound,,Fairly profound,,15 points,2,small tray (10 marbles),"Strategy D: Predict red on all of the 60 rolls. ",embroider,rival,grimace,illusion,brave,10,10,1 in 100,Definitely true of myself 5,Definitely not true of myself 1,Definitely not true of myself 1,Definitely true of myself 5,Not true or untrue 3,Definitely true of myself 5,Definitely true of myself 5,Not true or untrue 3,Not true or untrue 3,2,ef76d57b-380a-20ee-9c6c-e35df60d09ae,
2018-03-06 14:11:04,2018-03-06 14:18:18,IP Address,*******,100,433,True,2018-03-06 14:18:18,R_XQVGajQ1WOMsb1n,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,35-44,Conservative,High School,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,56,False,100,False,100,True,68,True,50,False,50,True,80,False,52,True,100,False,81,True,98,False,100,True,94,False,88,True,100,False,100,,,,,,Definitely profound,Somewhat profound,,Fairly profound,Fairly profound,,Somewhat profound,,Very profound,,,,,,,15 points,3,small tray (10 marbles),"Strategy A: Go by intuition, switching when there has been too many of one color or the other.",widen,come,value,,daring,600,10,1 in 10,2,Definitely not true of myself 1,2,4,Not true or untrue 3,4,Definitely true of myself 5,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,21a7f46a-a805-01da-4d7d-c28ce3f31fb3,
2018-03-06 14:08:05,2018-03-06 14:18:19,IP Address,*******,100,613,True,2018-03-06 14:18:20,R_2flDAuZWM8FiyVa,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,55-64,Moderate,High School,Male,True,50,False,60,True,51,True,50,True,80,False,50,True,80,False,75,False,64,True,90,False,100,True,100,False,100,False,80,False,100,True,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very profound,,,Somewhat profound,,Definitely profound,Not at all profound,,,Fairly profound,,,,Fairly profound,9 points,1,small tray (10 marbles),"Strategy F: Predict more red than green, but switching back and forth depending upon “runs” of one color or the other. ",widen,prominent,inducement,reference,daring,500,10,1 in 10,4,4,Definitely not true of myself 1,Definitely not true of myself 1,Definitely true of myself 5,4,Definitely true of myself 5,2,Definitely not true of myself 1,2,a1986e98-d785-98c9-728f-58b37c6fe04c,
